iter	Passed	Remaining
0	0	800
1	1	790
2	2	719
3	2	680
4	3	650
5	3	626
6	4	607
7	4	595
8	5	585
9	5	581
10	6	572
11	6	566
12	7	561
13	7	560
14	8	564
15	9	566
16	9	565
17	10	560
18	10	556
19	11	553
20	11	552
21	12	549
22	12	547
23	13	544
24	13	541
25	14	538
26	14	536
27	15	534
28	16	536
29	16	538
30	17	541
31	17	541
32	18	541
33	19	539
34	19	539
35	20	537
36	20	536
37	21	535
38	21	533
39	22	531
40	22	529
41	23	528
42	23	531
43	24	530
44	24	529
45	25	527
46	25	526
47	26	525
48	27	524
49	27	523
50	28	522
51	28	520
52	29	519
53	29	519
54	30	518
55	30	517
56	31	520
57	32	520
58	32	519
59	33	519
60	33	517
61	34	517
62	34	515
63	35	514
64	35	514
65	36	512
66	36	512
67	37	511
68	37	510
69	38	509
70	38	510
71	39	509
72	40	508
73	40	507
74	41	506
75	41	505
76	42	504
77	42	504
78	43	503
79	43	503
80	44	503
81	44	503
82	45	499
83	45	499
84	46	499
85	47	499
86	47	499
87	48	499
88	48	498
89	49	498
90	49	498
91	50	498
92	51	498
93	51	497
94	52	496
95	52	495
96	53	497
97	53	496
98	54	496
99	55	495
100	55	494
101	56	493
102	56	493
103	57	493
104	57	493
105	58	492
106	58	491
107	59	490
108	59	489
109	60	489
110	61	489
111	61	488
112	62	487
113	62	487
114	63	486
115	63	485
116	64	484
117	64	483
118	65	482
119	65	482
120	66	481
121	66	479
122	67	479
123	67	478
124	68	479
125	69	480
126	69	479
127	70	479
128	71	479
129	71	479
130	72	478
131	73	480
132	73	481
133	74	480
134	74	480
135	75	479
136	76	480
137	76	479
138	77	479
139	77	479
140	78	478
141	78	476
142	79	475
143	79	473
144	80	472
145	80	471
146	81	470
147	81	469
148	81	468
149	82	467
150	82	466
151	83	466
152	84	465
153	84	464
154	84	463
155	85	462
156	85	461
157	86	461
158	87	460
159	87	459
160	87	457
161	88	456
162	88	455
163	89	454
164	89	454
165	90	453
166	91	454
167	91	453
168	92	453
169	92	453
170	93	452
171	93	451
172	94	451
173	94	450
174	95	449
175	95	448
176	96	447
177	96	447
178	97	446
179	97	446
180	98	446
181	99	445
182	99	445
183	100	444
184	100	443
185	101	443
186	101	442
187	102	441
188	102	440
189	103	439
190	103	439
191	104	438
192	104	437
193	105	437
194	105	436
195	106	436
196	107	436
197	107	436
198	108	436
199	109	436
200	109	435
201	110	434
202	110	434
203	111	433
204	111	432
205	112	432
206	112	431
207	113	431
208	113	430
209	114	430
210	114	429
211	115	429
212	115	428
213	116	427
214	116	426
215	117	426
216	117	425
217	118	424
218	118	423
219	119	422
220	119	422
221	120	421
222	120	421
223	121	420
224	121	419
225	122	418
226	122	418
227	123	417
228	123	416
229	124	415
230	124	414
231	125	414
232	125	413
233	125	412
234	126	411
235	126	410
236	127	409
237	127	409
238	128	409
239	129	408
240	129	407
241	130	409
242	131	408
243	131	408
244	132	407
245	132	406
246	133	405
247	133	405
248	134	404
249	134	403
250	134	402
251	135	402
252	136	402
253	136	401
254	137	400
255	137	400
256	138	399
257	138	398
258	139	398
