iter	Passed	Remaining
0	144	144372
1	145	72366
2	145	48353
3	145	36344
4	146	29173
5	147	24362
6	147	20928
7	147	18351
8	148	16345
9	148	14740
10	149	13428
11	149	12334
12	150	11408
13	150	10618
14	151	9931
15	151	9328
16	152	8798
17	152	8325
18	153	7902
19	153	7522
20	153	7177
21	154	6865
22	154	6580
23	155	6318
24	155	6077
25	156	5854
26	156	5648
27	157	5456
28	157	5277
29	158	5111
30	158	4955
31	158	4809
32	159	4672
33	159	4543
34	160	4421
35	160	4306
36	161	4197
37	161	4094
38	162	3996
39	162	3903
40	163	3814
41	163	3731
42	164	3650
43	164	3574
44	164	3500
45	165	3430
46	165	3363
47	166	3299
48	166	3237
49	167	3178
50	167	3120
51	168	3066
52	168	3013
53	169	2962
54	169	2915
55	170	2868
56	170	2823
57	171	2780
58	171	2738
59	172	2697
60	172	2657
61	173	2618
62	173	2581
63	174	2545
64	174	2510
65	174	2476
66	175	2442
67	175	2407
68	176	2376
69	176	2346
70	177	2316
71	177	2288
72	177	2260
73	178	2232
74	178	2206
75	179	2180
76	179	2155
77	180	2131
78	180	2107
79	181	2084
80	181	2061
81	182	2039
82	182	2018
83	183	1997
84	183	1974
85	183	1954
86	184	1933
87	184	1914
88	185	1895
89	185	1876
90	186	1858
91	186	1841
92	187	1823
93	187	1807
94	187	1790
95	188	1774
96	188	1758
97	189	1742
98	189	1727
99	190	1712
100	190	1697
101	191	1681
102	191	1667
103	191	1653
104	192	1639
105	192	1626
106	193	1613
107	193	1600
108	194	1588
109	194	1575
110	195	1563
111	195	1551
112	196	1539
113	196	1527
114	197	1516
115	197	1504
116	197	1492
117	198	1481
118	198	1470
119	199	1459
120	199	1449
121	199	1438
122	200	1427
123	200	1417
124	201	1407
125	201	1397
126	201	1388
127	202	1377
128	202	1368
129	203	1359
130	203	1350
131	203	1341
132	204	1332
133	204	1324
134	205	1315
135	205	1307
136	206	1299
137	206	1290
138	207	1282
139	207	1274
140	207	1266
141	208	1259
142	208	1252
143	209	1244
144	209	1237
145	210	1230
146	210	1223
147	211	1216
148	211	1209
149	212	1202
150	212	1195
151	213	1188
